Membership No  Date Joined  Active  
    42054      2015-5-22    yes   
    63430      2015-12-20   no    
    79282      2020-8-17    no    
    28564      2018-9-13    no    
    20130      2019-4-6     no    
    30641      2020-10-25   yes   
    17303      2015-3-8     yes   
    44935      2018-12-22   no    
    93443      2020-2-9     no    
    66385      2020-12-3    no    
    69290      2015-2-18    no    
    11373      2015-4-6     yes   
    16047      2020-4-1     no    
    18739      2019-4-14    no    
    26357      2018-10-21   no    
    32726      2016-3-12    no    
    26980      2018-11-14   no    
    73569      2017-3-1     no    
    14590      2016-9-4     no    
    13963      2015-10-1    no    
