Membership No  Date Joined  Active  
    29021      2016-9-4     no    
    81844      2019-7-13    yes   
    57926      2018-6-9     no    
    82482      2016-8-9     no    
    51030      2015-12-25   yes   
    56946      2015-2-11    yes   
    60905      2017-4-5     no    
    26968      2016-6-19    no    
    88054      2019-9-13    yes   
    59279      2015-8-2     yes   
    59327      2017-3-22    yes   
    27742      2017-5-8     yes   
    96472      2017-10-22   yes   
    84189      2019-4-20    yes   
    61753      2016-2-13    no    
    64910      2015-12-1    yes   
    88917      2018-1-9     no    
    39186      2017-7-20    yes   
    85838      2020-6-16    no    
    24749      2020-2-3     yes   
